"Compound","Assays"
"LSM-33851","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33853","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33854","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33855","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33856","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33857","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33858","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33859","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33860","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33861","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33862","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33863","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33864","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33865","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33866","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33867","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33868","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33869","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33870","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33871","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33872","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33873","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33874","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33875","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33876","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33877","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33878","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33879","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33880","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33881","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33882","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33883","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33884","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33885","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33886","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33887","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33888","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33889","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33890","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33891","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33892","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33893","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33894","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33896","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33897","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33898","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33899","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33900","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33901","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33902","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33903","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33904","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33905","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33906","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33907","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33908","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33909","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33910","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33911","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33912","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33913","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33914","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33915","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33916","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33917","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33918","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33919","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33920","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33921","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33922","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33923","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33924","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33925","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33926","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33927","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33928","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33929","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33930","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33931","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33932","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33933","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33934","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33935","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33936","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33937","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33938","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33939","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33940","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33941","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33942","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33943","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33944","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33945","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33946","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33947","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33948","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33949","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33950","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33951","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33952","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33953","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33954","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33955","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33956","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33957","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33958","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33959","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33960","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33961","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33962","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33963","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33964","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33965","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33966","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
